Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,0.284,0.227,0.194,0.179,0.158,0.16,0.158,0.165,0.16,0.17,0.16
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,1.031,1.043,1.078,1.088,1.062,0.887,0.909,0.913,0.842,0.821,0.792
Millions of Metric tons of CO2,CO2 emissions,0.652,0.682,0.708,0.673,0.677,0.706,0.751,0.771,0.886,0.944,0.955
Millions of Metric tons of CO2,CO2 emissions,0.101,0.095,0.088,0.1,0.104,0.099,0.106,0.104,0.112,0.134,0.132
Millions of Metric tons of CO2,CO2 emissions,4.183,4.041,3.948,3.872,3.715,3.963,3.659,3.952,4.008,4.077,4.071
Millions of Metric tons of CO2,CO2 emissions,0.28,0.283,0.314,0.332,0.356,0.236,0.219,0.239,0.233,0.228,0.236
Millions of Metric tons of CO2,CO2 emissions,0.52,0.416,0.521,0.601,0.482,0.414,0.44,0.413,0.404,0.386,0.223
Millions of Metric tons of CO2,CO2 emissions,0.665,0.39,0.685,0.838,0.78,0.779,0.724,0.51,0.476,0.498,0.588
Millions of Metric tons of CO2,CO2 emissions,0.313,0.209,0.217,0.237,0.221,0.491,0.449,0.365,0.414,0.454,0.427
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.004,0.004,0.004,0.023,0.021,0.02,0.015,0.02,0.009
Millions of Metric tons of CO2,CO2 emissions,0.126,0.094,0.118,0.12,0.129,0.112,0.107,0.109,0.124,0.143,0.152
Millions of Metric tons of CO2,CO2 emissions,2.654,2.429,2.37,2.517,2.322,2.476,2.428,2.395,2.492,2.562,2.564
Millions of Metric tons of CO2,CO2 emissions,0.179,0.18,0.165,0.155,0.154,0.158,0.163,0.165,0.176,0.188,0.184
Millions of Metric tons of CO2,CO2 emissions,0.025,0.022,0.022,0.019,0.02,0.017,0.014,0.013,0.016,0.019,0.021
Millions of Metric tons of CO2,CO2 emissions,1.595,1.605,1.719,1.665,1.577,1.595,1.49,1.59,1.687,1.528,1.658
Millions of Metric tons of CO2,CO2 emissions,0.411,0.495,0.372,0.356,0.355,0.325,0.339,0.356,0.394,0.423,0.376
Millions of Metric tons of CO2,CO2 emissions,0.059,0.054,0.053,0.053,0.049,0.048,0.045,0.045,0.046,0.053,0.051
Millions of Metric tons of CO2,CO2 emissions,0.385,0.358,0.332,0.35,0.315,0.344,0.332,0.358,0.373,0.414,0.411
Millions of Metric tons of CO2,CO2 emissions,0.588,0.625,0.583,0.536,0.528,0.569,0.57,0.595,0.658,0.698,0.702
Millions of Metric tons of CO2,CO2 emissions,0.057,0.047,0.044,0.042,0.04,0.046,0.037,0.038,0.04,0.042,0.039
Millions of Metric tons of CO2,CO2 emissions,0.433,0.399,0.341,0.322,0.316,0.344,0.308,0.37,0.359,0.426,0.409
Millions of Metric tons of CO2,CO2 emissions,0.09,0.088,0.089,0.089,0.079,0.063,0.066,0.063,0.064,0.064,0.062
Millions of Metric tons of CO2,CO2 emissions,0.087,0.076,0.056,0.047,0.043,0.041,0.038,0.039,0.038,0.043,0.041
Millions of Metric tons of CO2,CO2 emissions,0.163,0.149,0.149,0.142,0.142,0.115,0.101,0.094,0.11,0.089,0.09
Millions of Metric tons of CO2,CO2 emissions,0.308,0.272,0.22,0.236,0.225,0.233,0.252,0.256,0.282,0.287,0.29
Millions of Metric tons of CO2,CO2 emissions,0.262,0.253,0.243,0.253,0.264,0.243,0.246,0.236,0.252,0.269,0.264
Millions of Metric tons of CO2,CO2 emissions,0.554,0.392,0.315,0.357,0.448,0.474,0.506,0.481,0.617,0.687,0.652
Millions of Metric tons of CO2,CO2 emissions,1.48,1.429,1.396,1.368,1.357,1.388,1.405,1.434,1.487,1.516,1.512
Millions of Metric tons of CO2,CO2 emissions,0.441,0.409,0.428,0.442,0.412,0.34,0.342,0.299,0.297,0.312,0.351
Millions of Metric tons of CO2,CO2 emissions,0.267,0.235,0.267,0.228,0.238,0.263,0.22,0.293,0.3,0.308,0.31
Millions of Metric tons of CO2,CO2 emissions,1.127,1.054,0.85,0.817,0.895,0.911,0.85,1.132,1.214,1.227,1.271
Millions of Metric tons of CO2,CO2 emissions,2.55,2.357,2.316,2.105,2.109,2.214,1.901,1.867,2.028,2.064,2.064
Millions of Metric tons of CO2,CO2 emissions,2.792,2.622,2.861,2.991,2.761,2.69,2.969,3.111,3.277,3.333,3.457
Millions of Metric tons of CO2,CO2 emissions,0.126,0.101,0.101,0.093,0.1,0.111,0.098,0.109,0.111,0.117,0.117
Millions of Metric tons of CO2,CO2 emissions,9.675,3.325,5.964,5.132,3.797,4.598,4.542,4.804,5.48,5.448,5.472
Millions of Metric tons of CO2,CO2 emissions,3.795,5.515,5.094,5.058,5.205,5.459,5.48,5.252,4.652,4.17,4.136
Millions of Metric tons of CO2,CO2 emissions,6.765,6.175,6.497,6.3,5.895,5.806,5.797,5.835,5.859,6.094,5.453
Millions of Metric tons of CO2,CO2 emissions,0.044,0.031,0.055,0.052,0.056,0.048,0.042,0.052,0.059,0.057,0.056
Millions of Metric tons of CO2,CO2 emissions,1.399,1.478,1.272,1.316,1.466,1.436,1.348,1.141,1.214,1.271,1.269
Millions of Metric tons of CO2,CO2 emissions,0.691,0.7,0.503,0.433,0.457,0.507,0.409,0.492,0.495,0.494,0.497
Millions of Metric tons of CO2,CO2 emissions,0.037,0.044,0.087,0.081,0.076,0.067,0.057,0.056,0.045,0.047,0.048
Millions of Metric tons of CO2,CO2 emissions,19.972,20.763,22.151,19.226,18.629,17.036,15.817,16.64,15.375,15.164,15.401
Millions of Metric tons of CO2,CO2 emissions,0.169,0.135,0.242,0.254,0.245,0.224,0.195,0.195,0.203,0.214,0.211
Millions of Metric tons of CO2,CO2 emissions,0.68,0.653,0.87,0.741,0.742,0.785,0.676,0.792,0.791,0.793,0.802
Millions of Metric tons of CO2,CO2 emissions,0.03,0.022,0.028,0.015,0.016,0.014,0.014,0.023,0.027,0.038,0.034
Millions of Metric tons of CO2,CO2 emissions,1.443,1.721,2.264,1.98,1.976,2.003,2.096,2.187,2.199,2.282,2.445
Millions of Metric tons of CO2,CO2 emissions,0.723,0.724,1.019,0.896,0.95,0.991,0.825,1.021,1.024,1.038,1.04
Millions of Metric tons of CO2,CO2 emissions,0.251,0.31,0.309,0.302,0.306,0.316,0.284,0.309,0.324,0.359,0.372
Millions of Metric tons of CO2,CO2 emissions,5.147,5.167,2.86,2.764,2.816,2.688,2.73,3.004,3.235,3.328,3.444
Millions of Metric tons of CO2,CO2 emissions,0.109,0.088,0.202,0.208,0.215,0.194,0.172,0.144,0.138,0.146,0.155
Millions of Metric tons of CO2,CO2 emissions,0.593,0.407,0.569,0.427,0.558,0.51,0.408,0.332,0.353,0.388,0.371
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.037,0.034,0.038,0.042,0.05,0.041,0.05,0.073,0.081,0.086,0.1
Millions of Metric tons of CO2,CO2 emissions,0.005,0.003,0.004,0.002,0.001,0.001,0.002,0.002,0,0,0.001
Millions of Metric tons of CO2,CO2 emissions,0.232,0.209,0.238,0.245,0.256,0.332,0.202,0.145,0.134,0.131,0.133
Millions of Metric tons of CO2,CO2 emissions,3.873,3.089,3.752,4.08,3.75,3.876,4.035,3.627,3.711,3.365,3.626
