Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,1.081,0.896,0.924,0.796,0.731,0.692,0.692,0.692,0.662,0.637,0.616
Millions of Metric tons of CO2,CO2 emissions,148.96,124.148,127.703,126.96,123.552,106.368,99.003,99.757,98.163,99.574,90.658
Millions of Metric tons of CO2,CO2 emissions,2.917,2.266,2.114,1.89,1.796,1.731,1.813,1.885,1.707,1.757,1.768
Millions of Metric tons of CO2,CO2 emissions,2.378,2.176,1.853,1.579,1.537,1.603,1.396,1.459,1.516,1.495,1.582
Millions of Metric tons of CO2,CO2 emissions,0.84,0.697,0.71,0.72,0.649,0.575,0.608,0.569,0.622,0.594,0.628
Millions of Metric tons of CO2,CO2 emissions,5.885,5.067,4.026,3.755,3.596,3.596,3.535,3.591,3.909,3.756,3.602
Millions of Metric tons of CO2,CO2 emissions,2.691,2.542,2.06,1.777,1.751,1.742,1.493,1.603,1.693,1.656,1.806
Millions of Metric tons of CO2,CO2 emissions,1.154,1.092,0.723,0.628,0.601,0.604,0.522,0.575,0.62,0.641,0.68
Millions of Metric tons of CO2,CO2 emissions,13.521,11.602,20.505,21.676,20.538,19.98,19.623,19.727,12.133,13.264,14.355
Millions of Metric tons of CO2,CO2 emissions,3.14,2.459,3.31,2.708,2.683,2.619,3,2.869,2.591,2.785,2.803
Millions of Metric tons of CO2,CO2 emissions,1.21,0.994,1.168,0.795,0.779,0.929,0.962,0.963,0.821,0.689,0.686
Millions of Metric tons of CO2,CO2 emissions,2.235,1.248,1.695,2.945,2.961,2.799,2.851,2.674,2.803,3.36,3.749
Millions of Metric tons of CO2,CO2 emissions,0.198,0.165,0.189,0.257,0.153,0.171,0.187,0.132,0.161,0.187,0.191
Millions of Metric tons of CO2,CO2 emissions,0.033,0.037,0.028,0.029,0.029,0.029,0.036,0.054,0.063,0.024,0.026
Millions of Metric tons of CO2,CO2 emissions,0.054,0.049,0.16,0.098,0.101,0.103,0.153,0.128,0.085,0.136,0.14
Millions of Metric tons of CO2,CO2 emissions,24.436,17.253,16.623,17.005,15.682,14.07,12.15,13.819,11.756,9.866,10.221
Millions of Metric tons of CO2,CO2 emissions,0.786,0.74,0.611,0.543,0.523,0.521,0.44,0.466,0.491,0.491,0.549
Millions of Metric tons of CO2,CO2 emissions,0.024,0.022,0.03,0.02,0.019,0.023,0.025,0.023,0.008,0.008,0.009
Millions of Metric tons of CO2,CO2 emissions,2.76,2.782,2.606,2.071,1.834,1.72,1.68,1.74,1.788,1.814,1.698
Millions of Metric tons of CO2,CO2 emissions,1.76,1.868,1.564,1.504,1.735,1.491,1.451,1.179,1.419,1.433,1.468
Millions of Metric tons of CO2,CO2 emissions,0.282,0.247,0.45,0.4,0.37,0.35,0.35,0.352,0.089,0.094,0.101
Millions of Metric tons of CO2,CO2 emissions,4.468,4.018,2.43,2.055,1.968,1.913,1.615,1.752,1.905,1.912,2.05
Millions of Metric tons of CO2,CO2 emissions,3.349,2.955,2.775,2.364,2.319,2.239,2.077,1.999,1.756,1.7,1.856
Millions of Metric tons of CO2,CO2 emissions,0.545,0.493,0.388,0.32,0.289,0.274,0.221,0.238,0.252,0.239,0.255
Millions of Metric tons of CO2,CO2 emissions,3.154,3.146,2.94,2.55,2.564,2.58,2.179,2.359,2.387,2.476,2.578
Millions of Metric tons of CO2,CO2 emissions,0.569,0.451,0.23,0.131,0.131,0.194,0.213,0.227,0.328,0.212,0.157
Millions of Metric tons of CO2,CO2 emissions,1.068,0.989,0.64,0.52,0.495,0.463,0.349,0.373,0.373,0.366,0.382
Millions of Metric tons of CO2,CO2 emissions,3.094,2.631,2.034,1.692,1.853,1.827,1.772,1.745,1.664,1.783,1.73
Millions of Metric tons of CO2,CO2 emissions,1.875,1.624,2.226,2.232,2.193,2.179,2.194,2.118,1.127,1.164,1.29
Millions of Metric tons of CO2,CO2 emissions,1.342,1.153,2.29,1.589,1.507,1.692,1.755,1.724,0.907,0.937,0.997
Millions of Metric tons of CO2,CO2 emissions,18.852,16.896,24.594,26.315,22.717,24.798,21.581,19.05,18.786,26.733,25.419
Millions of Metric tons of CO2,CO2 emissions,20.678,16.894,7.832,7.333,6.888,6.456,5.509,5.712,7.424,7.712,8.414
Millions of Metric tons of CO2,CO2 emissions,0.218,0.194,0.364,0.315,0.291,0.336,0.351,0.372,0.231,0.238,0.237
Millions of Metric tons of CO2,CO2 emissions,5.714,5.002,4.895,4.835,4.67,5.042,4.876,4.656,4.335,4.547,4.267
Millions of Metric tons of CO2,CO2 emissions,3.977,3.838,3.563,3.795,3.601,3.944,3.975,4.352,4.331,4.253,5.791
Millions of Metric tons of CO2,CO2 emissions,9.772,11.823,11.301,10.505,10.37,9.72,9.65,10.78,11.652,10.799,8.642
Millions of Metric tons of CO2,CO2 emissions,22.565,21.134,20.891,21.291,22.279,23.106,24.389,25.852,26.786,27.472,28.704
Millions of Metric tons of CO2,CO2 emissions,2.751,2.589,2.471,2.523,2.557,2.639,2.465,2.417,2.29,2.244,2.201
Millions of Metric tons of CO2,CO2 emissions,152.59,149.535,168.065,169.437,173.577,174.642,170.689,165.876,132.555,130.89,139.583
Millions of Metric tons of CO2,CO2 emissions,44.779,42.602,44.341,45.541,42.877,48.014,47.155,42.884,35.033,36.867,35.589
Millions of Metric tons of CO2,CO2 emissions,37.186,41.284,42.793,34.632,33.965,32.69,32.263,33.483,26.578,23.844,39.575
Millions of Metric tons of CO2,CO2 emissions,3.872,3.483,3.253,3.288,2.782,2.76,2.715,2.862,2.357,2.354,1.584
Millions of Metric tons of CO2,CO2 emissions,19.27,18.9,20.507,23.625,19.767,21.265,19.091,19.311,21.441,21.944,11.331
Millions of Metric tons of CO2,CO2 emissions,4.381,4.065,3.942,3.697,3.476,3.687,3.502,3.452,3.308,3.327,3.07
Millions of Metric tons of CO2,CO2 emissions,1.863,1.947,1.787,1.931,1.94,1.786,1.777,1.748,1.538,1.494,1.382
Millions of Metric tons of CO2,CO2 emissions,422.986,388.106,420.439,481.891,528.495,531.379,508.095,484.259,529.636,519.683,480.685
Millions of Metric tons of CO2,CO2 emissions,1.683,1.649,1.489,1.713,1.698,1.758,1.567,1.48,1.459,1.446,1.13
Millions of Metric tons of CO2,CO2 emissions,6.305,5.455,5.181,5.071,4.628,5.211,4.828,4.734,4.328,4.437,4.774
Millions of Metric tons of CO2,CO2 emissions,6.07,6.955,6.064,5.889,5.732,5.215,5.151,5.232,5.158,4.546,4.161
Millions of Metric tons of CO2,CO2 emissions,10.998,10.781,10.944,12.288,12.345,11.663,11.308,10.311,9.903,9.4,9.808
Millions of Metric tons of CO2,CO2 emissions,8.787,7.922,8.022,8.556,8.537,9.424,9.182,8.501,7.965,8.352,8.218
Millions of Metric tons of CO2,CO2 emissions,3.615,3.084,3.026,2.962,3.017,3.362,3.198,3.078,3.043,3.185,2.941
Millions of Metric tons of CO2,CO2 emissions,18.522,20.246,20.061,20.379,20.446,18.973,18.788,24.209,22.448,19.844,14.173
Millions of Metric tons of CO2,CO2 emissions,3.932,3.429,3.214,3.932,3.802,3.924,3.474,3.073,3.176,3.261,2.798
Millions of Metric tons of CO2,CO2 emissions,15.079,16.292,13.657,5.974,6.025,5.98,6.254,6.01,5.946,5.581,5.241
Millions of Metric tons of CO2,CO2 emissions,2.435,2.609,3.083,3.299,4.438,3.444,3.643,3.206,3.767,2.974,2.618
Millions of Metric tons of CO2,CO2 emissions,1.518,1.642,1.338,1.261,1.51,1.311,1.35,1.296,1.223,1.1,0.707
Millions of Metric tons of CO2,CO2 emissions,0.233,0.249,0.231,0.288,0.276,0.217,0.221,0.203,0.206,0.189,0.179
Millions of Metric tons of CO2,CO2 emissions,2.884,3.1,3.392,4.505,4.667,3.554,3.61,3.303,3.258,3.452,2.67
Millions of Metric tons of CO2,CO2 emissions,29.219,25.691,26.091,28.027,28.265,28.666,27.528,26.56,26.4,26.41,25.953
Millions of Metric tons of CO2,CO2 emissions,2.584,2.274,2.275,2.307,2.185,2.271,2.091,1.995,1.934,1.935,1.897
Millions of Metric tons of CO2,CO2 emissions,0.769,0.623,0.623,0.919,0.827,0.713,0.626,0.538,0.502,0.568,0.452
Millions of Metric tons of CO2,CO2 emissions,14.353,13.157,13.126,14.195,14.032,14.25,13.71,13.494,12.858,13.121,12.987
Millions of Metric tons of CO2,CO2 emissions,16.72,17.268,17.17,17.502,16.309,16.907,16.052,16.595,15.677,15.372,14.63
Millions of Metric tons of CO2,CO2 emissions,0.416,0.39,0.235,0.39,0.376,0.457,0.451,0.345,0.246,0.351,0.547
Millions of Metric tons of CO2,CO2 emissions,6.618,5.864,5.657,5.756,5.411,6.029,5.656,5.806,5.597,5.599,6.143
Millions of Metric tons of CO2,CO2 emissions,10.091,9.219,10.01,9.614,9.875,12.177,11.016,9.572,8.966,8.889,8.546
Millions of Metric tons of CO2,CO2 emissions,2.085,1.948,1.825,1.839,1.843,1.953,1.901,2.028,1.928,1.855,1.684
Millions of Metric tons of CO2,CO2 emissions,11.166,10.209,10.015,10.086,9.504,10.464,9.862,9.408,8.828,8.907,9.014
Millions of Metric tons of CO2,CO2 emissions,1.716,1.751,1.698,1.68,1.627,1.569,1.476,1.289,1.299,1.234,1.361
Millions of Metric tons of CO2,CO2 emissions,2.582,2.253,2.281,2.469,2.325,2.596,2.409,2.19,2.109,2.246,2.863
Millions of Metric tons of CO2,CO2 emissions,2.289,2.078,1.99,2.134,2.11,1.872,1.814,1.519,1.449,1.356,1.434
Millions of Metric tons of CO2,CO2 emissions,1.677,1.537,1.502,1.507,1.595,1.71,1.708,1.825,1.812,1.784,1.759
Millions of Metric tons of CO2,CO2 emissions,1.731,1.557,1.409,1.459,1.534,1.581,1.542,1.545,1.446,1.532,1.608
Millions of Metric tons of CO2,CO2 emissions,86.146,76.007,75.243,78.084,79.926,73.369,74.377,70.869,61.076,56.433,58.723
Millions of Metric tons of CO2,CO2 emissions,32.496,24.891,27.738,29.379,27.526,30.59,27.579,24.392,23.787,25.156,25.899
Millions of Metric tons of CO2,CO2 emissions,0.6,0.568,0.569,0.665,0.66,0.652,0.59,0.61,0.605,0.651,0.498
Millions of Metric tons of CO2,CO2 emissions,0.281,0.143,0.166,0.176,0.097,0.13,0.107,0.117,0.146,0.153,0.163
Millions of Metric tons of CO2,CO2 emissions,0.577,0.355,0.342,0.384,0.437,0.374,0.323,0.325,0.338,0.33,0.35
Millions of Metric tons of CO2,CO2 emissions,3.806,3.263,2.98,3.249,2.991,2.242,2.651,2.08,2.157,2.59,2.532
Millions of Metric tons of CO2,CO2 emissions,1.34,1.068,1.405,1.327,1.152,0.984,1.046,0.936,1.019,1.245,1.44
Millions of Metric tons of CO2,CO2 emissions,0.175,0.105,0.104,0.112,0.181,0.296,0.381,0.351,0.319,0.341,0.334
Millions of Metric tons of CO2,CO2 emissions,24.603,30.504,32.729,27.139,32.012,25.693,23.347,20.296,19.151,18.891,20.641
Millions of Metric tons of CO2,CO2 emissions,0.712,0.691,0.536,0.925,0.879,0.65,0.585,1.182,1.119,1.553,1.495
Millions of Metric tons of CO2,CO2 emissions,4.245,2.755,3.044,3.698,3.684,3.043,2.487,2.659,1.784,1.9,1.748
Millions of Metric tons of CO2,CO2 emissions,0.008,0.007,0.009,0.01,0.008,0.011,0.015,0.024,0.016,0.011,0.012
Millions of Metric tons of CO2,CO2 emissions,1.541,0.708,0.964,0.618,1.263,0.836,1.457,5.682,6.979,2.265,2.123
Millions of Metric tons of CO2,CO2 emissions,0.901,0.432,0.515,0.558,0.353,0.644,0.546,0.565,0.609,0.745,0.883
Millions of Metric tons of CO2,CO2 emissions,0.022,0.02,0.024,0.027,0.023,0.028,0.036,0.056,0.052,0.037,0.04
Millions of Metric tons of CO2,CO2 emissions,86.013,75.893,76.39,80.365,87.666,93.335,97.713,83.473,91.984,100.587,105.332
Millions of Metric tons of CO2,CO2 emissions,0.047,0.042,0.051,0.057,0.054,0.069,0.081,0.13,0.103,0.073,0.079
Millions of Metric tons of CO2,CO2 emissions,0.616,0.297,0.413,0.336,0.164,0.346,0.338,0.408,0.419,0.486,0.531
Millions of Metric tons of CO2,CO2 emissions,0.007,0.01,0.004,0.005,0.017,0.023,0.049,0.036,0.062,0.075,0.047
Millions of Metric tons of CO2,CO2 emissions,2.421,1.382,1.52,0.539,0.843,0.728,0.695,1.293,0.784,0.894,0.945
Millions of Metric tons of CO2,CO2 emissions,0.913,0.445,0.564,0.459,0.333,0.661,0.897,1.209,1.342,1.249,1.067
Millions of Metric tons of CO2,CO2 emissions,0.082,0.034,0.043,0.048,0.026,0.04,0.029,0.036,0.038,0.05,0.056
Millions of Metric tons of CO2,CO2 emissions,3.258,2.19,1.831,2.273,3.05,3.534,7.811,6.799,7.3,7.445,8.586
Millions of Metric tons of CO2,CO2 emissions,0.034,0.03,0.037,0.042,0.034,0.036,0.046,0.062,0.051,0.036,0.039
Millions of Metric tons of CO2,CO2 emissions,9.982,6.407,7.258,9.638,7.483,8.816,3.871,0.775,0.492,0.782,0.347
Millions of Metric tons of CO2,CO2 emissions,34.333,34.006,43.636,43.228,40.914,46.174,4.125,6.382,8.705,8.526,8.645
Millions of Metric tons of CO2,CO2 emissions,4.198,3.932,4.323,4.916,5.35,5.912,4.276,3.561,6.844,7.079,4.63
Millions of Metric tons of CO2,CO2 emissions,1.152,1.088,1.166,1.326,1.437,1.282,1.318,0.886,1.373,1.509,0.852
Millions of Metric tons of CO2,CO2 emissions,0.113,0.008,0.007,0.006,0.01,0.016,0.014,0.015,0.011,0.012,0.04
Millions of Metric tons of CO2,CO2 emissions,0.184,0.117,0.217,0.381,0.741,0.423,0.854,4.582,3.513,5.199,4.92
Millions of Metric tons of CO2,CO2 emissions,0.243,0.139,0.129,0.138,0.219,0.878,0.661,0.625,0.641,0.67,0.696
Millions of Metric tons of CO2,CO2 emissions,0.245,0.013,0.012,0.008,0.013,0.011,0.008,0.013,0.017,0.013,0.032
Millions of Metric tons of CO2,CO2 emissions,0.027,0.036,0.041,0.019,0.016,0.045,0.039,0.046,0.059,0.069,0.059
Millions of Metric tons of CO2,CO2 emissions,0.099,0.107,0.082,0.129,0.162,0.385,0.24,0.462,0.424,0.669,0.671
Millions of Metric tons of CO2,CO2 emissions,0.052,0.035,0.033,0.037,0.009,0.027,0.013,0.015,0.012,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,1.479,0.753,0.951,0.925,0.684,0.726,0.577,0.579,0.774,0.801,0.827
Millions of Metric tons of CO2,CO2 emissions,1.396,1.049,0.985,1.028,0.579,0.961,1.188,1.736,1.169,1.716,2.168
Millions of Metric tons of CO2,CO2 emissions,0.134,0.051,0.065,0.072,0.036,0.052,0.041,0.048,0.05,0.056,0.064
Millions of Metric tons of CO2,CO2 emissions,2.055,0.961,1.186,1.302,0.682,1.537,1.227,1.149,1.109,1.368,1.579
Millions of Metric tons of CO2,CO2 emissions,26.664,17.202,19.46,25.924,21.059,31.227,13.085,2.494,1.559,2.642,0.565
Millions of Metric tons of CO2,CO2 emissions,0.492,0.246,0.29,0.322,0.192,0.283,0.197,0.187,0.158,0.167,0.18
Millions of Metric tons of CO2,CO2 emissions,0.044,0.046,0.05,0.027,0.025,0.02,0.03,0.025,0.029,0.043,0.045
Millions of Metric tons of CO2,CO2 emissions,0.474,0.225,0.277,0.302,1.868,0.812,0.45,0.33,0.226,0.246,0.243
Millions of Metric tons of CO2,CO2 emissions,0.196,0.109,0.104,0.127,0.067,0.146,0.089,0.048,0.048,0.044,0.051
Millions of Metric tons of CO2,CO2 emissions,0.266,0.168,0.153,0.112,0.078,0.26,0.125,0.185,0.186,0.106,0.053
Millions of Metric tons of CO2,CO2 emissions,4.282,2.06,2.626,2.59,1.231,3.359,2.434,2.454,2.73,2.928,2.817
Millions of Metric tons of CO2,CO2 emissions,0.018,0.011,0.009,0.012,0.009,0.028,0.05,0.053,0.022,0.036,0.036
Millions of Metric tons of CO2,CO2 emissions,2.602,3.402,3.663,3.872,3.688,3.713,3.396,2.444,2.623,2.662,2.743
Millions of Metric tons of CO2,CO2 emissions,1.028,1.029,1.475,1.679,1.748,2,1.726,1.561,1.557,1.641,1.763
Millions of Metric tons of CO2,CO2 emissions,4.221,4.32,5.007,4.541,4.654,4.663,3.418,1.955,1.514,1.298,1.432
Millions of Metric tons of CO2,CO2 emissions,20.536,19.821,22.105,23.222,24.481,25.353,25.994,26.888,28.027,29.368,30.203
Millions of Metric tons of CO2,CO2 emissions,0.583,0.648,0.873,0.874,0.933,0.987,0.97,0.889,0.906,0.962,1.043
Millions of Metric tons of CO2,CO2 emissions,69.349,64.068,76.626,85.201,84.593,80.052,80.468,89.922,82.731,78.294,80.331
Millions of Metric tons of CO2,CO2 emissions,11.564,11.405,11.519,14.011,13.547,12.571,12.435,10.655,9.645,10.637,11.743
Millions of Metric tons of CO2,CO2 emissions,29.392,24.587,24.977,24.248,23.418,27.055,28.631,27.425,27.877,26.678,24.814
Millions of Metric tons of CO2,CO2 emissions,2.224,2.319,2.709,2.633,2.779,4.112,3.203,2.472,2.429,2.541,2.715
Millions of Metric tons of CO2,CO2 emissions,5.03,5.571,6.187,6.13,5.497,5.204,5.232,5.302,5.73,5.575,5.653
Millions of Metric tons of CO2,CO2 emissions,2.687,3.293,3.548,3.684,3.893,3.918,3.942,4.049,3.764,3.709,3.581
Millions of Metric tons of CO2,CO2 emissions,0.734,0.784,0.79,0.784,0.821,0.916,0.93,0.67,0.706,0.701,0.785
Millions of Metric tons of CO2,CO2 emissions,200.988,225.733,248.251,263.975,268.517,267.685,261.783,263.961,266.58,282.748,294.119
Millions of Metric tons of CO2,CO2 emissions,1.781,1.795,1.805,1.808,1.942,2.011,2.129,1.504,1.476,1.466,1.493
Millions of Metric tons of CO2,CO2 emissions,2.392,2.413,2.554,2.486,2.441,2.234,2.055,2.157,2.144,2.126,2.195
Millions of Metric tons of CO2,CO2 emissions,3.068,3.297,3.816,3.302,3.295,3.417,3.304,3.339,3.547,3.596,3.323
Millions of Metric tons of CO2,CO2 emissions,2.697,2.758,2.919,3.01,3.011,3.077,3.133,2.351,2.536,2.907,2.874
Millions of Metric tons of CO2,CO2 emissions,1.785,2.178,2.617,2.563,2.698,2.769,2.8,3.261,3.403,3.577,3.946
Millions of Metric tons of CO2,CO2 emissions,0.708,0.833,0.878,0.854,0.905,0.882,0.824,0.694,0.667,0.686,0.677
Millions of Metric tons of CO2,CO2 emissions,20.434,18.127,18.641,15.411,16.074,17.764,18.284,21.25,23.127,23.485,20.258
Millions of Metric tons of CO2,CO2 emissions,1.334,1.323,1.483,1.552,1.599,1.726,1.755,1.143,1.127,1.275,1.356
Millions of Metric tons of CO2,CO2 emissions,3.154,2.365,2.528,2.098,2.237,2.144,1.732,1.948,3.175,3.016,2.386
Millions of Metric tons of CO2,CO2 emissions,0.577,0.819,0.633,0.654,0.596,0.512,0.34,0.164,0.202,0.334,0.358
Millions of Metric tons of CO2,CO2 emissions,0.469,0.476,0.605,0.582,0.565,0.641,0.603,0.356,0.337,0.335,0.334
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.002,0.002,0.002,0.001,0.003,0.002,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,1.788,1.761,2.224,2.996,3.336,2.976,2.92,2.247,2.286,2.224,2.084
Millions of Metric tons of CO2,CO2 emissions,21.245,19.331,20.363,21.847,20.06,20.137,20.785,20.233,19.151,17.987,18.19
Millions of Metric tons of CO2,CO2 emissions,0.926,1.049,1.3,1.235,1.287,1.276,1.194,1.351,1.293,1.261,1.221
Millions of Metric tons of CO2,CO2 emissions,1.024,1.131,1.21,1.5,1.488,1.628,1.395,1.008,0.896,0.73,0.653
Millions of Metric tons of CO2,CO2 emissions,3.65,3.899,4.269,4.024,3.589,3.713,3.294,3.057,3.158,3.432,3.58
Millions of Metric tons of CO2,CO2 emissions,1.736,2.078,1.484,1.316,1.217,1.132,1.194,0.923,0.913,0.988,1.076
Millions of Metric tons of CO2,CO2 emissions,0.285,0.304,0.612,0.886,0.829,0.823,0.966,1.354,1.459,1.455,1.673
Millions of Metric tons of CO2,CO2 emissions,3.774,4.265,5.454,5.467,5.704,5.913,5.628,5.467,5.594,5.787,6.313
Millions of Metric tons of CO2,CO2 emissions,2.358,2.237,2.461,2.593,2.493,2.579,2.252,3.167,3.449,3.792,3.86
Millions of Metric tons of CO2,CO2 emissions,0.579,0.677,0.806,0.812,0.808,0.826,0.798,0.776,0.779,0.776,0.818
Millions of Metric tons of CO2,CO2 emissions,2.151,2.178,2.57,2.497,2.537,2.548,2.358,2.737,2.876,3.021,3.172
Millions of Metric tons of CO2,CO2 emissions,10.009,8.051,9.793,7.502,8.798,8.457,6.62,7.228,11.989,10.31,7.626
Millions of Metric tons of CO2,CO2 emissions,0.781,0.732,0.799,0.705,0.697,0.739,0.603,0.739,0.723,0.731,0.724
Millions of Metric tons of CO2,CO2 emissions,3.59,3.461,3.993,3.556,3.219,2.352,2.427,1.973,1.987,1.995,1.969
Millions of Metric tons of CO2,CO2 emissions,1.252,1.643,1.088,1.103,1.077,1.368,1.221,0.976,1.009,1.087,1.105
Millions of Metric tons of CO2,CO2 emissions,0.667,0.801,0.559,0.577,0.515,0.508,0.495,0.515,0.526,0.604,0.625
Millions of Metric tons of CO2,CO2 emissions,26.835,32.388,40.453,35.218,35.625,37.087,35.328,27.144,32.304,26.362,20.191
Millions of Metric tons of CO2,CO2 emissions,5.622,7.248,6.82,6.321,6.884,6.16,5.768,10.431,10.354,10.994,11.187
Millions of Metric tons of CO2,CO2 emissions,0.285,0.344,0.3,0.262,0.251,0.25,0.324,0.224,0.165,0.17,0.167
Millions of Metric tons of CO2,CO2 emissions,0.021,0.018,0.018,0.021,0.03,0.021,0.023,0.021,0.027,0.026,0.027
Millions of Metric tons of CO2,CO2 emissions,0.017,0.02,0.02,0.029,0.027,0.026,0.028,0.029,0.04,0.04,0.039
Millions of Metric tons of CO2,CO2 emissions,0.249,0.241,0.252,0.149,0.191,0.17,0.152,0.153,0.203,0.189,0.199
Millions of Metric tons of CO2,CO2 emissions,0.101,0.104,0.106,0.106,0.106,0.104,0.097,0.103,0.117,0.112,0.114
Millions of Metric tons of CO2,CO2 emissions,0.003,0.004,0.003,0.005,0.005,0.005,0.006,0.005,0.008,0.011,0.011
Millions of Metric tons of CO2,CO2 emissions,0.005,0.006,0.01,0.022,0.026,0.042,0.051,0.038,0.035,0.048,0.05
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.007,0.008,0.008,0.009,0.009,0.008,0.012,0.011,0.016,0.016,0.015
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.163,0.206,0.2,0.278,0.281,0.346,0.385,0.376,0.474,0.529,0.53
Millions of Metric tons of CO2,CO2 emissions,0.005,0.008,0.007,0.009,0.011,0.012,0.014,0.009,0.013,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.016,0.015,0.015,0.022,0.02,0.029,0.038,3.74,10.914,13.977,14.093
Millions of Metric tons of CO2,CO2 emissions,0.004,0.005,0.006,0.006,0.006,0.011,0.012,0.01,0.014,0.014,0.015
Millions of Metric tons of CO2,CO2 emissions,0.033,0.036,0.035,0.021,0.018,0.014,0.018,0.022,0.031,0.029,0.031
Millions of Metric tons of CO2,CO2 emissions,0.017,0.016,0.016,0.01,0.013,0.011,0.01,0.01,0.011,0.011,0.012
Millions of Metric tons of CO2,CO2 emissions,0.022,0.017,0.02,0.01,0.019,0.01,0.011,0.01,0.016,0.015,0.016
Millions of Metric tons of CO2,CO2 emissions,0.011,0.014,0.014,0.017,0.02,0.018,0.02,0.021,0.032,0.033,0.032
Millions of Metric tons of CO2,CO2 emissions,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.006,0.006,0.007
Millions of Metric tons of CO2,CO2 emissions,0.093,0.113,0.104,0.083,0.079,0.079,0.113,0.126,0.179,0.177,0.17
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.448,0.528,0.732,0.844,0.833,1.16,1.045,1.338,0.44,0.464,0.528
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.004,0.007,0.008,0.007
Millions of Metric tons of CO2,CO2 emissions,0.068,0.077,0.08,0.092,0.072,0.113,0.103,0.062,0.134,0.143,0.127
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.008,0.01,0.01,0.011,0.01,0.007,0.02,0.016,0.021,0.029,0.027
Millions of Metric tons of CO2,CO2 emissions,0.007,0.008,0.009,0.008,0.008,0.009,0.01,0.011,0.014,0.015,0.015
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.002,0.003,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.013,0.016,0.015,0.016,0.016,0.017,0.016,0.017,0.021,0.02,0.021
Millions of Metric tons of CO2,CO2 emissions,0.041,0.096,0.077,0.061,0.077,0.093,0.127,0.154,0.212,0.206,0.222
Millions of Metric tons of CO2,CO2 emissions,0.006,0.006,0.006,0.007,0.007,0.008,0.009,0.007,0.01,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,0.005,0.007,0.005,0.005,0.005,0.006,0.006,0.006,0.01,0.012,0.013
Millions of Metric tons of CO2,CO2 emissions,0.103,0.121,0.167,0.192,0.185,0.253,0.227,0.292,0.099,0.104,0.118
Millions of Metric tons of CO2,CO2 emissions,0.005,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.008,0.009,0.009
Millions of Metric tons of CO2,CO2 emissions,0.013,0.014,0.011,0.01,0.01,0.014,0.012,0.01,0.015,0.014,0.015
Millions of Metric tons of CO2,CO2 emissions,0.016,0.02,0.021,0.023,0.02,0.023,0.025,0.033,0.048,0.049,0.045
Millions of Metric tons of CO2,CO2 emissions,0.002,0.003,0.003,0.003,0.004,0.005,0.005,0.004,0.006,0.008,0.007
Millions of Metric tons of CO2,CO2 emissions,0.277,0.396,0.374,0.278,0.256,0.315,0.412,0.644,0.752,0.698,0.625
Millions of Metric tons of CO2,CO2 emissions,0.274,0.316,0.301,0.217,0.211,0.211,0.255,0.309,0.389,0.381,0.396
Millions of Metric tons of CO2,CO2 emissions,0.012,0.012,0.011,0.008,0.012,0.008,0.008,0.007,0.012,0.012,0.013
Millions of Metric tons of CO2,CO2 emissions,0.014,0.012,0.014,0.012,0.012,0.012,0.014,0.016,0.016,0.017,0.017
Millions of Metric tons of CO2,CO2 emissions,0.052,0.041,0.055,0.047,0.059,0.063,0.066,0.057,0.062,0.063,0.066
Millions of Metric tons of CO2,CO2 emissions,0.423,0.389,0.461,0.465,0.461,0.471,0.48,0.484,0.496,0.533,0.532
